tt0071315;chinatown;1974;8.2;1;10;11.62;1;1.00;Drama;Mystery;Thriller
tt0095765;cinema_paradiso;1988;8.5;1;0;4.00;3;5.00;Drama
tt0033467;citizen_kane;1941;8.4;1;8;11.62;0;0.00;Drama;Mystery
tt0970411;city_of_ember;2008;6.5;0;0;0.00;0;0.00;Adventure;Family;Fantasy
tt0100234;close_up;1990;8.3;0;0;0.00;0;0.00;Biography;Crime;Drama
tt1371111;cloud_atlas;2012;7.5;0;0;0.00;0;0.00;Drama;Sci-Fi
tt0345061;code_46;2003;6.2;0;0;0.00;0;0.00;Drama;Romance;Sci-Fi
tt0064177;colossus_the_forbin_project;1970;7.2;0;0;0.00;0;0.00;Sci-Fi;Thriller
tt0118884;contact;1997;7.4;0;1;0.50;0;0.00;Drama;Mystery;Sci-Fi
tt0061512;cool_hand_luke;1967;8.2;1;3;4.88;0;0.00;Crime;Drama
tt0327597;coraline;2009;7.7;0;1;1.00;0;0.00;Animation;Family;Fantasy
tt0121164;corpse_bride;2005;7.4;0;1;1.00;0;0.00;Animation;Drama;Family
tt3076658;creed;2015;7.7;0;1;0.62;0;0.00;Drama;Sport
tt0069467;cries_&_whispers;1972;8.2;1;4;5.50;0;0.00;Drama
tt0097123;crimes_and_misdemeanors;1989;8.0;0;3;2.88;0;0.00;Comedy;Crime;Drama
tt0099348;dances_with_wolves;1990;8.0;7;5;25.50;0;0.00;Adventure;Drama;Western
tt0118929;dark_city;1998;7.7;0;0;0.00;0;0.00;Mystery;Sci-Fi;Thriller
tt0082096;das_boot;1981;8.4;0;6;4.75;0;0.00;Adventure;Drama;Thriller
tt0106677;dazed_and_confused;1993;7.7;0;0;0.00;0;0.00;Comedy
tt0097165;dead_poets_society;1989;8.0;1;3;8.25;1;3.00;Comedy;Drama
tt0101700;delicatessen;1991;7.7;0;0;0.00;0;0.00;Comedy;Crime
tt0046911;diabolique;1955;8.1;0;0;0.00;0;0.00;Crime;Drama;Horror
tt0046912;dial_m_for_murder;1954;8.2;0;0;0.00;0;0.00;Crime;Film-Noir;Thriller
tt0066999;dirty_harry;1971;7.8;0;0;0.00;0;0.00;Action;Crime;Drama
tt1136608;district_9;2009;8.0;0;4;3.75;0;0.00;Action;Sci-Fi;Thriller
tt1853728;django_unchained;2012;8.4;2;3;10.00;1;3.00;Drama;Western
tt1211837;doctor_strange;2016;7.9;0;0;0.00;0;0.00;Action;Adventure;Fantasy
tt0072890;dog_day_afternoon;1975;8.0;1;5;9.62;1;1.00;Action;Crime;Drama
tt0246578;donnie_darko;2001;8.1;0;0;0.00;0;0.00;Drama;Sci-Fi;Thriller
tt0036775;double_indemnity;1944;8.4;0;7;7.00;0;0.00;Crime;Drama;Film-Noir
tt0057012;dr_strangelove_or_how_i_learned_to_stop_worrying_and_love_the_bomb;1964;8.5;0;4;4.50;0;0.00;Comedy
tt0097239;driving_miss_daisy;1989;7.4;4;5;17.12;1;1.00;Drama
tt1282140;easy_a;2010;7.1;0;0;0.00;0;0.00;Comedy;Drama;Romance
